Texas Education Agency

Total Enrollment Counts in Student Program and Special Populations Reports

PEIMS Data 2022-2023

"SCOPE","AGGREGATION LEVEL","YEAR","CAMPUS NUMBER","CAMPUS NAME","GRADE GROUP","DISTRICT NUMBER","DISTRICT NAME","REGION","COUNTY NUMBER","COUNTY NAME","ALL ENROLLMENT","AT RISK","BILINGUAL","DYSLEXIC","ECONOMICALLY DISADVANTAGED","EMERGENT BILINGUAL/ENGLISH LEARNER","ESL","FOSTER CARE","GIFTED & TALENTED","HOMELESS","MILITARY CONNECTED","SECTION 504","SPECIAL EDUCATION","TITLE I"
"STATE","CAMPUS","2022-2023",108913118,"21ST CENTURY EARLY LEARNING FOUNDATIONS ACADEMY","ELEMENTARY",108913,"WESLACO ISD",01,108,"HIDALGO COUNTY",344,321,104,0,339,144,-999,0,0,0,0,0,26,-999
"STATE","CAMPUS","2022-2023",021901001,"A & M CONS H S","HIGH SCHOOL",021901,"COLLEGE STATION ISD",06,021,"BRAZOS COUNTY",2139,892,0,154,692,80,62,-999,308,10,-999,335,223,0
"STATE","CAMPUS","2022-2023",021901042,"A & M CONSOLIDATED MIDDLE","JUNIOR HIGH SCHOOL",021901,"COLLEGE STATION ISD",06,021,"BRAZOS COUNTY",710,313,0,53,367,92,74,-999,95,-999,0,92,102,0
"STATE","CAMPUS","2022-2023",077901101,"A B DUNCAN COLLEGIATE EL","ELEMENTARY",077901,"FLOYDADA COLLEGIATE ISD",17,077,"FLOYD COUNTY",332,90,0,-999,262,19,17,0,-999,-999,-999,18,38,332
"STATE","CAMPUS","2022-2023",147903103,"A B MCBAY EL","ELEMENTARY",147903,"MEXIA ISD",12,147,"LIMESTONE COUNTY",527,267,105,-999,454,118,-999,0,-999,15,-999,16,82,527
"STATE","CAMPUS","2022-2023",205901041,"A C BLUNT MIDDLE","MIDDLE SCHOOL",205901,"ARANSAS PASS ISD",02,205,"SAN PATRICIO COUNTY",387,215,0,21,248,28,27,-999,17,30,-999,41,40,387
"STATE","CAMPUS","2022-2023",013901001,"A C JONES H S","HIGH SCHOOL",013901,"BEEVILLE ISD",02,013,"BEE COUNTY",1041,694,0,-999,847,28,28,-999,67,-999,-999,94,110,1041
"STATE","CAMPUS","2022-2023",116908101,"A E BUTLER INT","ELEMENTARY",116908,"QUINLAN ISD",10,116,"HUNT COUNTY",605,392,0,70,488,119,0,-999,-999,-999,-999,57,128,0
"STATE","CAMPUS","2022-2023",126905103,"A G ELDER EL","ELEMENTARY",126905,"JOSHUA ISD",11,126,"JOHNSON COUNTY",620,339,147,41,374,170,26,-999,-999,0,32,25,114,620
"STATE","CAMPUS","2022-2023",015904042,"A LEAL JR MIDDLE","MIDDLE SCHOOL",015904,"HARLANDALE ISD",20,015,"BEXAR COUNTY",629,436,183,35,565,174,22,-999,73,-999,14,62,96,628
"STATE","CAMPUS","2022-2023",108902104,"A M OCHOA EL","ELEMENTARY",108902,"DONNA ISD",01,108,"HIDALGO COUNTY",360,285,163,-999,339,158,0,0,19,-999,-999,-999,45,360
"STATE","CAMPUS","2022-2023",220905153,"A M PATE EL","ELEMENTARY",220905,"FORT WORTH ISD",11,220,"TARRANT COUNTY",356,291,56,23,353,144,57,0,14,13,-999,26,24,356
"STATE","CAMPUS","2022-2023",108913113,"A N RICO EL","ELEMENTARY",108913,"WESLACO ISD",01,108,"HIDALGO COUNTY",763,624,260,47,691,249,0,0,22,24,-999,32,82,763
"STATE","CAMPUS","2022-2023",020905102,"A P BEUTEL EL","ELEMENTARY",020905,"BRAZOSPORT ISD",04,020,"BRAZORIA COUNTY",539,214,0,24,321,27,25,-999,51,17,49,21,97,539
"STATE","CAMPUS","2022-2023",108902045,"A P SOLIS MIDDLE","MIDDLE SCHOOL",108902,"DONNA ISD",01,108,"HIDALGO COUNTY",666,516,0,17,619,361,358,0,50,35,-999,42,72,666
"STATE","CAMPUS","2022-2023",220917101,"A V CATO EL","ELEMENTARY",220917,"CASTLEBERRY ISD",11,220,"TARRANT COUNTY",573,440,212,21,527,263,51,-999,26,-999,13,13,74,573
"STATE","CAMPUS","2022-2023",057829001,"A+ ACADEMY EL","ELEMENTARY",057829,"A+ ACADEMY",10,057,"DALLAS COUNTY",874,732,84,21,796,505,-999,-999,52,0,0,-999,95,874
"STATE","CAMPUS","2022-2023",057829002,"A+ SECONDARY SCHOOL","HIGH SCHOOL",057829,"A+ ACADEMY",10,057,"DALLAS COUNTY",714,513,0,41,689,355,-999,0,36,-999,0,-999,79,714
"STATE","CAMPUS","2022-2023",101871102,"A+ UNLIMITED POTENTIAL - UNIVERSITY","MIDDLE SCHOOL",101871,"A+ UNLIMITED POTENTIAL",04,101,"HARRIS COUNTY",156,76,0,-999,117,-999,-999,0,0,-999,0,14,30,156
"STATE","CAMPUS","2022-2023",139911102,"AARON PARKER EL","ELEMENTARY",139911,"NORTH LAMAR ISD",08,139,"LAMAR COUNTY",265,185,0,22,186,-999,-999,-999,-999,14,-999,-999,58,265
"STATE","CAMPUS","2022-2023",043914042,"AB HARRISON INT","MIDDLE SCHOOL",043914,"WYLIE ISD",10,043,"COLLIN COUNTY",1039,255,92,100,317,127,83,-999,150,-999,97,123,196,0
"STATE","CAMPUS","2022-2023",057909143,"ABBETT EL","ELEMENTARY",057909,"GARLAND ISD",10,057,"DALLAS COUNTY",652,349,94,66,392,189,85,0,18,-999,12,60,68,652
"STATE","CAMPUS","2022-2023",109901001,"ABBOTT SCHOOL","ELEMENTARY / SECONDARY",109901,"ABBOTT ISD",12,109,"HILL COUNTY",286,65,0,28,77,-999,-999,-999,20,-999,-999,20,38,286
"STATE","CAMPUS","2022-2023",165901047,"ABELL J H","JUNIOR HIGH SCHOOL",165901,"MIDLAND ISD",18,165,"MIDLAND COUNTY",1095,644,0,89,502,143,135,0,121,11,23,101,115,1095
"STATE","CAMPUS","2022-2023",095901003,"ABERNATHY DAEP","HIGH SCHOOL",095901,"ABERNATHY ISD",17,095,"HALE COUNTY","<10",-999,0,0,-999,0,0,0,0,0,0,-999,0,0
"STATE","CAMPUS","2022-2023",095901101,"ABERNATHY EL","ELEMENTARY",095901,"ABERNATHY ISD",17,095,"HALE COUNTY",411,266,0,16,202,-999,-999,0,62,0,11,-999,45,411
"STATE","CAMPUS","2022-2023",095901001,"ABERNATHY H S","HIGH SCHOOL",095901,"ABERNATHY ISD",17,095,"HALE COUNTY",243,87,0,26,110,-999,-999,0,36,-999,-999,40,25,243
"STATE","CAMPUS","2022-2023",095901041,"ABERNATHY MIDDLE","MIDDLE SCHOOL",095901,"ABERNATHY ISD",17,095,"HALE COUNTY","<190",-999,0,18,-999,-999,-999,0,34,-999,-999,29,22,179
"STATE","CAMPUS","2022-2023",221901001,"ABILENE H S","HIGH SCHOOL",221901,"ABILENE ISD",14,221,"TAYLOR COUNTY",1966,1178,0,38,1346,140,140,13,200,102,39,103,253,102
"STATE","CAMPUS","2022-2023",071902171,"ABOUT FACE PROGRAM EL","ELEMENTARY",071902,"EL PASO ISD",19,071,"EL PASO COUNTY","<10",-999,-999,0,-999,-999,0,0,0,0,0,-999,-999,-999
"STATE","CAMPUS","2022-2023",015908046,"ABRAHAM KAZEN MIDDLE","MIDDLE SCHOOL",015908,"SOUTH SAN ANTONIO ISD",20,015,"BEXAR COUNTY",284,272,0,20,270,56,42,-999,21,-999,0,20,55,284
"STATE","CAMPUS","2022-2023",220902116,"ACADEMY AT CARRIE F THOMAS","ELEMENTARY",220902,"BIRDVILLE ISD",11,220,"TARRANT COUNTY",590,451,144,26,456,221,74,0,21,-999,-999,28,88,590
"STATE","CAMPUS","2022-2023",126902101,"ACADEMY AT NOLA DUNN","ELEMENTARY",126902,"BURLESON ISD",11,126,"JOHNSON COUNTY",675,89,-999,47,117,16,12,-999,53,0,62,38,94,0
"STATE","CAMPUS","2022-2023",014901102,"ACADEMY EARLY CHILDHOOD CENTER","ELEMENTARY",014901,"ACADEMY ISD",12,014,"BELL COUNTY",182,30,0,0,111,15,-999,-999,0,12,28,-999,22,182
"STATE","CAMPUS","2022-2023",014901101,"ACADEMY EL","ELEMENTARY",014901,"ACADEMY ISD",12,014,"BELL COUNTY",704,317,0,30,308,47,41,-999,43,10,83,-999,103,704
"STATE","CAMPUS","2022-2023",221901010,"ACADEMY FOR TECHNOLOGY ENGINEERING MATH & SCIENCE","HIGH SCHOOL",221901,"ABILENE ISD",14,221,"TAYLOR COUNTY",372,96,0,-999,189,-999,-999,0,89,11,24,42,16,11
"STATE","CAMPUS","2022-2023",014901001,"ACADEMY H S","HIGH SCHOOL",014901,"ACADEMY ISD",12,014,"BELL COUNTY",530,200,0,26,178,23,-999,-999,65,-999,92,86,50,530
"STATE","CAMPUS","2022-2023",014901041,"ACADEMY J H","MIDDLE SCHOOL",014901,"ACADEMY ISD",12,014,"BELL COUNTY",419,171,0,36,194,37,33,-999,35,-999,44,66,57,419
